property_id,listing_id,mls_id,address,city,state,zip_code,latitude,longitude,location,price,beds,baths,full_baths,sqft,lot_size,year_built,stories,property_type,ui_property_type,listing_type,mls_status,search_status,price_per_sqft,hoa_fee,days_on_market,time_on_redfin,sold_date,is_hot,has_virtual_tour,has_video_tour,has_3d_tour,is_new_construction,listing_broker,data_source_id,market_id,has_insight,url,scraped_at,data_type,price_per_bed,price_per_bath,sqft_per_bed,bed_bath_ratio,home_age,price_segment,size_segment
78887876,205713354,1849245,3335 Nandale Dr,Colerain Twp,OH,45239,,,Groesbeck,235000,3.0,2.0,2.0,1176.0,11326.0,1957.0,1.0,6,1,1,Active,1,200.0,,,"{'value': 84894985, 'level': 1}",1345014000000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/3335-Nandale-Dr-45239/home/78887876,2025-07-26T15:01:18.832132,active,78333.33333333333,117500.0,392.0,1.5,67.0,Moderate,Small
101049015,205712864,1849422,2604 Melrose Ave,Norwood,OH,45212,,,Norwood,369900,3.0,1.5,1.0,1352.0,,1925.0,2.0,6,1,1,Active,1,274.0,,,"{'value': 85582041, 'level': 1}",1717570800000.0,False,False,False,False,False,,158,64,False,/OH/Norwood/2604-Melrose-Ave-45212/home/101049015,2025-07-26T15:01:18.832138,active,123300.0,246600.0,450.6666666666667,2.0,99.0,Upper_Mid,Medium
76103683,205711830,1849391,9125 Round Top Rd,Cincinnati,OH,45251,,,Colerain Twp.East,280000,3.0,1.5,1.0,1328.0,20038.0,1955.0,1.0,6,1,1,Active,1,211.0,,,"{'value': 86809793, 'level': 1}",,False,False,False,False,False,,158,64,False,/OH/Cincinnati/9125-Round-Top-Rd-45251/home/76103683,2025-07-26T15:01:18.832144,active,93333.33333333333,186666.66666666666,442.6666666666667,2.0,69.0,Moderate,Medium
78743298,205711352,1845167,8270 Weller Rd,Cincinnati,OH,45242,,,Montgomery,799000,3.0,3.5,3.0,4410.0,19689.0,1995.0,2.0,6,1,1,Active,1,181.0,38.0,,"{'value': 87528115, 'level': 1}",1122620400000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/8270-Weller-Rd-45242/home/78743298,2025-07-26T15:01:18.832150,active,266333.3333333333,228285.7142857143,1470.0,0.8571428571428571,29.0,Ultra_Luxury,Mansion
101016830,205711055,1847175,5578 Eula Ave,Green Twp,OH,45248,,,Bridgetown,225000,2.0,2.0,2.0,852.0,7536.0,1943.0,1.0,6,1,1,Active,1,264.0,,,"{'value': 87889942, 'level': 1}",1460703600000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/5578-Eula-Ave-45248/home/101016830,2025-07-26T15:01:18.832156,active,112500.0,112500.0,426.0,1.0,81.0,Moderate,Small
101007542,205710888,1849343,569 Rentz Pl,Delhi Twp,OH,45238,,,Delhi Twp.,185000,2.0,1.0,1.0,1250.0,12632.0,1954.0,1.0,6,1,1,Active,1,148.0,,,"{'value': 88005027, 'level': 1}",908262000000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/569-Rentz-Pl-45238/home/101007542,2025-07-26T15:01:18.832163,active,92500.0,185000.0,625.0,2.0,70.0,Moderate,Medium
71403746,205710848,1849409,641 Ellen Dr,Union Twp,OH,45255,,,Union Twp.,379900,3.0,2.5,2.0,1769.0,10454.0,2001.0,2.0,6,1,1,Active,1,215.0,,,"{'value': 88089472, 'level': 1}",1521529200000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/641-Ellen-Dr-45255/home/71403746,2025-07-26T15:01:18.832168,active,126633.33333333333,151960.0,589.6666666666666,1.2,23.0,Upper_Mid,Medium
71401313,205710542,1849319,902 Baccarat Dr,Union Twp,OH,45245,,,Union Twp.,365000,3.0,2.0,2.0,1823.0,19994.0,2001.0,1.0,6,1,1,Active,1,200.0,22.0,,"{'value': 88491788, 'level': 1}",958028400000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/902-Baccarat-Dr-45245/home/71401313,2025-07-26T15:01:18.832176,active,121666.66666666667,182500.0,607.6666666666666,1.5,23.0,Upper_Mid,Large
76163644,205710278,1849322,3733 Lyndon Center Ct,Deer Park,OH,45236,,,Deer Park,299990,4.0,2.5,2.0,2144.0,12284.0,1957.0,2.0,6,1,1,Active,1,140.0,,,"{'value': 88864106, 'level': 1}",521794800000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/3733-Lyndon-Center-Ct-45236/home/76163644,2025-07-26T15:01:18.832185,active,74997.5,119996.0,536.0,1.6,67.0,Moderate,Large
100960550,205710001,1849348,2311 Stratford Ave,Cincinnati,OH,45219,,,Clifton,395000,5.0,2.0,2.0,1615.0,2570.0,1912.0,3.0,6,1,1,Active,1,245.0,,,"{'value': 89211069, 'level': 1}",682671600000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/2311-Stratford-Ave-45219/home/100960550,2025-07-26T15:01:18.832191,active,79000.0,197500.0,323.0,2.5,112.0,Upper_Mid,Medium
