property_id,listing_id,mls_id,address,city,state,zip_code,latitude,longitude,location,price,beds,baths,full_baths,sqft,lot_size,year_built,stories,property_type,ui_property_type,listing_type,mls_status,search_status,price_per_sqft,hoa_fee,days_on_market,time_on_redfin,sold_date,is_hot,has_virtual_tour,has_video_tour,has_3d_tour,is_new_construction,listing_broker,data_source_id,market_id,has_insight,url,scraped_at,data_type,price_per_bed,price_per_bath,sqft_per_bed,bed_bath_ratio,home_age,price_segment,size_segment
78829384,205558199,1848775,2500 Warsaw Ave #29,Cincinnati,OH,45204,,,Price Hill,97900,1.0,1.0,1.0,616.0,196987.0,1969.0,1.0,3,2,1,Active,1,159.0,359.0,,"{'value': 479212759, 'level': 1}",1533884400000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/2500-Warsaw-Ave-45204/unit-29/home/78829384,2025-07-26T15:01:18.833351,active,97900.0,97900.0,616.0,1.0,55.0,Budget,Small
100981207,205556819,1848742,3154 Werk Rd,Cincinnati,OH,45211,,,Westwood,340000,4.0,4.0,4.0,3228.0,7667.0,1948.0,2.0,4,4,1,Active,1,105.0,,,"{'value': 491928949, 'level': 1}",955004400000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/3154-Werk-Rd-45211/home/100981207,2025-07-26T15:01:18.833357,active,85000.0,85000.0,807.0,1.0,76.0,Upper_Mid,Very_Large
196509006,205555373,1848754,210 Vintage Club Dr #106,Montgomery,OH,45249,,,Montgomery,955000,2.0,2.0,2.0,,,,1.0,3,2,1,Active,1,,731.0,,"{'value': 502024111, 'level': 1}",,False,False,False,False,True,,158,64,False,/OH/Montgomery/210-Vintage-Club-Dr-45249/unit-106/home/196509006,2025-07-26T15:01:18.833364,active,477500.0,477500.0,,1.0,,Ultra_Luxury,
100979290,205553798,1848708,2739 Powell Dr,Cincinnati,OH,45211,,,Westwood,349000,4.0,4.0,4.0,2904.0,7623.0,1958.0,2.0,4,4,1,Active,1,120.0,,,"{'value': 511473982, 'level': 1}",1104480000000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/2739-Powell-Dr-45211/home/100979290,2025-07-26T15:01:18.833370,active,87250.0,87250.0,726.0,1.0,66.0,Upper_Mid,Very_Large
196508709,205553440,1848727,210 Vintage Club Dr #101,Montgomery,OH,45249,,,Montgomery,1195000,3.0,2.0,2.0,,,,1.0,3,2,1,Active,1,,869.0,,"{'value': 514122074, 'level': 1}",,False,False,False,False,True,,158,64,False,/OH/Montgomery/210-Vintage-Club-Dr-45249/unit-101/home/196508709,2025-07-26T15:01:18.833377,active,398333.3333333333,597500.0,,1.5,,Ultra_Luxury,
78805826,205547579,1848192,3955 Roswell Ave,Cheviot,OH,45211,,,Cheviot,195000,3.0,2.0,2.0,2184.0,15464.0,1947.0,1.0,6,1,1,Active,1,89.0,,,"{'value': 557805515, 'level': 1}",1560841200000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/3955-Roswell-Ave-45211/home/78805826,2025-07-26T15:01:18.833383,active,65000.0,97500.0,728.0,1.5,77.0,Moderate,Large
95593854,205548905,1848699,133 Meridian St,Cincinnati,OH,45233,,,Sayler Park,229900,3.0,1.5,1.0,1528.0,6055.0,1913.0,2.0,6,1,1,Active,1,150.0,,,"{'value': 577137816, 'level': 1}",1720422000000.0,False,True,True,False,False,,158,64,False,/OH/Cincinnati/133-Meridian-St-45233/home/95593854,2025-07-26T15:01:18.833389,active,76633.33333333333,153266.66666666666,509.3333333333333,2.0,111.0,Moderate,Medium
145753217,204373561,1844533,7268 E Galbraith Rd Unit C,Sycamore Twp,OH,45243,,,Kenwood,229900,2.0,2.0,2.0,1032.0,178949.0,1979.0,1.0,3,2,1,Active,1,223.0,320.0,,"{'value': 586615302, 'level': 1}",1083049200000.0,False,False,False,False,False,,158,64,False,/OH/Madeira/7268-E-Galbraith-Rd-45243/unit-C/home/145753217,2025-07-26T15:01:18.833395,active,114950.0,114950.0,516.0,1.0,45.0,Moderate,Small
76097289,205546423,1848689,523 Norway Ave,Cincinnati,OH,45229,,,Avondale,389000,4.0,2.5,2.0,2189.0,5184.0,1913.0,3.0,6,1,1,Active,1,178.0,,,"{'value': 587802867, 'level': 1}",1727766000000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/523-Norway-Ave-45229/home/76097289,2025-07-26T15:01:18.833403,active,97250.0,155600.0,547.25,1.6,111.0,Upper_Mid,Large
78748276,205545229,1848725,4226 Ivanhoe Ave,Norwood,OH,45212,,,Norwood,310000,4.0,1.5,1.0,1942.0,6011.0,1906.0,3.0,6,1,1,Active,1,160.0,,,"{'value': 592377738, 'level': 1}",1565593200000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/4226-Ivanhoe-Ave-45212/home/78748276,2025-07-26T15:01:18.833409,active,77500.0,206666.66666666666,485.5,2.6666666666666665,118.0,Upper_Mid,Large
